Timestamp,Section Code,Item Code,MAKE (MANUFACTURED BY),Description,Quantity,Unit,Section Alloted,Picture of the Material,LOCATION/STOCK,Part Code
,,,,"G.I. Nipple Dia 3/4""",2,PC,Common Product,,6D,
,,,,"S.S. Elbow Class 150 Dia 1""",2,PC,Common Product,,6D,
,,,,"M.S. Elbow Dia 3/4""",2,PC,Common Product,,6D,
,,,,S.S. Socket Dia 32mm,1,PC,Common Product,,6D,
,,,,"M.S. Socket Inner and Outer Threaded Dia 3/4""",2,PC,Common Product,,6D,
,,,,"S.S. Short Bend Dia 1""",1,PC,Common Product,,6D,
,,,,"S.S. Union Dia 1.5"" (Class 150)",1,PC,Common Product,,6D,
,,,,"G.I. Reducer Dia 2.25"" * 1.5""",2,PC,Common Product,,6D,
,,,,Regulator For LPG CYlinder,3,PC,Common Product,,6D,
,,,,N.R.V. (Brass) Dia 50mm,2,PC,Common Product,,6D,
,,,,S.S. Nipple Dia 50mm Length 365mm,2,PC,Common Product,,6D,
,,,,"Stainer G.I. (W.C.-8) Dia 2.25""",2,PC,Common Product,,6D,
,,,,"Butterfly Vulve Dia 3"" (Disk - S.S. CF-8M)",1,PC,Common Product,,6D,
,,,,"M.S. FLANGE Dia 6"" (Class - C, PCD-240MM, No. of Hole = 8)",3,PC,Parboiling Section,,5D,
,,,,"M.S. FLANGE Dia 8"" (Class - B, PCD-295mm, No. of Hole = 8)",4,PC,Parboiling Section,,5D,
,,,,"S.S. FLANGE Dia 3"" (PCD-145mm, No. of Hole = 4)",2,PC,Parboiling Section,,5D,
,,,,"S.S. FLANGE Dia 2"" (PCD-130mm, No. of Hole = 4)",2,PC,Parboiling Section,,5D,
,,,,"S.S. FLANGE Dia 1"" (PCD-100mm, No. of Hole = 8, Hole Dia 18mm)",2,PC,Common Product,,5D,
,,,,"M.S. FLANGE Dia 3"" Threaded (Class - C, PCD-160mm, No. of Hole = 8, Hole Dia 16mm)",3,PC,Parboiling Section,,5D,
,,,,"M.S. FLANGE Dia 3"" Threaded (Class - C, PCD-150mm, No. of Hole = 4)",6,PC,Parboiling Section,,5D,
,,,,"M.S. FLANGE Dia 8"" (Class - C, PCD-300mm, No. of Hole = 8)",1,PC,Parboiling Section,,5D,
,,,,"M.S. FLANGE Dia 1""",2,,Common Product,,5D,
,,,,"M.S. FLANGE Dia 1/2""",2,,Common Product,,5D,
,,,,"S.S. FLANGE Dia 6"", Thickness 3mm",2,,Milling Section,,5D,
,,,,"M.S. FLANGE Dia "" 6"", Thickness 3mm",1,,Milling Section,,5D,
,,,,"FLANGED TEE Dia 1/2""",1,,Common Product,,5D,
